ID;ID_Sinonimo;Expressions;Pandas_Expressions;ID_DIR;Qtd_Words
1;10;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text alternative',case=False,na=False)))];1.1.1;2
1;11;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text alternative',case=False,na=False)))];1.1.1;2
1;12;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text alternative',case=False,na=False)))];1.1.1;2
1;13;(absence) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text alternative',case=False,na=False)))];1.1.1;2
2;0;(decorative element) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('decorative element',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text alternative',case=False,na=False)))];1.1.1;2
2;1;(decorative element) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('decorative element',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative text',case=False,na=False)))];1.1.1;2
2;2;(decorative element) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('decorative element',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative for text',case=False,na=False)))];1.1.1;2
2;3;(decorative element) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('decorative element',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive text',case=False,na=False)))];1.1.1;2
2;4;(decorative element) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('decorative element',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive identification',case=False,na=False)))];1.1.1;2
2;5;(decorative element) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('decorative element',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive information',case=False,na=False)))];1.1.1;2
2;6;(decorative element) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('decorative element',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative format',case=False,na=False)))];1.1.1;2
2;7;(decorative element) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('decorative element',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text translate',case=False,na=False)))];1.1.1;2
2;8;(decorative element) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('decorative element',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('label',case=False,na=False)))];1.1.1;2
3;0;braille;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('braille',case=False,na=False)))];1.1.1;1
4;0;captcha;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('captcha',case=False,na=False)))];1.1.1;1
5;0;sensory experience;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('sensory experience',case=False,na=False)))];1.1.1;1
6;0;(assistive) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('assistive',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text alternative',case=False,na=False)))];1.1.1;2
6;1;(assistive) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('assistive',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative text',case=False,na=False)))];1.1.1;2
6;2;(assistive) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('assistive',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative for text',case=False,na=False)))];1.1.1;2
6;3;(assistive) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('assistive',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive text',case=False,na=False)))];1.1.1;2
6;4;(assistive) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('assistive',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive identification',case=False,na=False)))];1.1.1;2
6;5;(assistive) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('assistive',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('descriptive information',case=False,na=False)))];1.1.1;2
6;6;(assistive) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('assistive',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative format',case=False,na=False)))];1.1.1;2
6;7;(assistive) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('assistive',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('text translate',case=False,na=False)))];1.1.1;2
6;8;(assistive) & (text alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('assistive',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('label',case=False,na=False)))];1.1.1;2
7;0;(media-only) & (alternative content) & (absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media-only',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative content',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)))];1.2.1;3
7;9;(media-only) & (alternative content) & (absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media-only',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative content',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)))];1.2.1;3
7;10;(media-only) & (alternative content) & (absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media-only',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative content',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)))];1.2.1;3
7;11;(media-only) & (alternative content) & (absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media-only',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative content',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)))];1.2.1;3
7;12;(media-only) & (alternative content) & (absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media-only',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative content',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)))];1.2.1;3
7;13;(media-only) & (alternative content) & (absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media-only',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('alternative content',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)))];1.2.1;3
8;0;prerecorded;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('prerecorded',case=False,na=False)))];1.2.1;1
9;0;(media-only) & (disability);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media-only',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('disability',case=False,na=False)))];1.2.1;2
10;0;(audio) & (prerecorded) & (caption);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('audio',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('prerecorded',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('disability',case=False,na=False)))];1.2.2;3
11;0;(hearing impairment) & (caption);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('hearing impairment',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('caption',case=False,na=False)))];1.2.2;2
12;0;(absence) & (media alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('media alternative',case=False,na=False)))];1.2.3;2
12;9;(absence) & (media alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('media alternative',case=False,na=False)))];1.2.3;2
12;10;(absence) & (media alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('media alternative',case=False,na=False)))];1.2.3;2
12;11;(absence) & (media alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('media alternative',case=False,na=False)))];1.2.3;2
12;12;(absence) & (media alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('media alternative',case=False,na=False)))];1.2.3;2
12;13;(absence) & (media alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('media alternative',case=False,na=False)))];1.2.3;2
13;0;(absence) & (audio alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio alternative',case=False,na=False)))];1.2.4;2
13;9;(absence) & (audio alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio alternative',case=False,na=False)))];1.2.4;2
13;10;(absence) & (audio alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio alternative',case=False,na=False)))];1.2.4;2
13;11;(absence) & (audio alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio alternative',case=False,na=False)))];1.2.4;2
13;12;(absence) & (audio alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio alternative',case=False,na=False)))];1.2.4;2
13;13;(absence) & (audio alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio alternative',case=False,na=False)))];1.2.4;2
14;0;(absence) & (video alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)))];1.2.5;2
14;9;(absence) & (video alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)))];1.2.5;2
14;10;(absence) & (video alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)))];1.2.5;2
14;11;(absence) & (video alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)))];1.2.5;2
14;12;(absence) & (video alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)))];1.2.5;2
14;13;(absence) & (video alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)))];1.2.5;2
15;0;(absence) & (sign language);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('sign language',case=False,na=False)))];1.2.6;2
15;9;(absence) & (sign language);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('sign language',case=False,na=False)))];1.2.6;2
15;10;(absence) & (sign language);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('sign language',case=False,na=False)))];1.2.6;2
15;11;(absence) & (sign language);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('sign language',case=False,na=False)))];1.2.6;2
15;12;(absence) & (sign language);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('sign language',case=False,na=False)))];1.2.6;2
15;13;(absence) & (sign language);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('sign language',case=False,na=False)))];1.2.6;2
16;0;(absence) & (video alternative) & (extended);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('extended',case=False,na=False)))];1.2.7;3
16;9;(absence) & (video alternative) & (extended);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('extended',case=False,na=False)))];1.2.7;3
16;10;(absence) & (video alternative) & (extended);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('extended',case=False,na=False)))];1.2.7;3
16;11;(absence) & (video alternative) & (extended);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('extended',case=False,na=False)))];1.2.7;3
16;12;(absence) & (video alternative) & (extended);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('extended',case=False,na=False)))];1.2.7;3
16;13;(absence) & (video alternative) & (extended);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('extended',case=False,na=False)))];1.2.7;3
17;0;(absence) & (video alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)))];1.2.8;2
17;9;(absence) & (video alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)))];1.2.8;2
17;10;(absence) & (video alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)))];1.2.8;2
17;11;(absence) & (video alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)))];1.2.8;2
17;12;(absence) & (video alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)))];1.2.8;2
17;13;(absence) & (video alternative);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('video alternative',case=False,na=False)))];1.2.8;2
18;0;(absence) & (audio alternative) & live;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio alternative',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('live',case=False,na=False)))];1.2.9;3
18;9;(absence) & (audio alternative) & live;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio alternative',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('live',case=False,na=False)))];1.2.9;3
18;10;(absence) & (audio alternative) & live;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio alternative',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('live',case=False,na=False)))];1.2.9;3
18;11;(absence) & (audio alternative) & live;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio alternative',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('live',case=False,na=False)))];1.2.9;3
18;12;(absence) & (audio alternative) & live;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio alternative',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('live',case=False,na=False)))];1.2.9;3
18;13;(absence) & (audio alternative) & live;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio alternative',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('live',case=False,na=False)))];1.2.9;3
19;0;(navigation) & (arbitrary);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('navigation',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('arbitrary',case=False,na=False)))];1.3.2;2
20;0;(sensory) & (instructions);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('sensory',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('instructions',case=False,na=False)))];1.3.3;2
21;0;(orientation);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('orientation',case=False,na=False)))];1.3.4;1
22;0;(input type) & (absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('input type',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)))];1.3.5;2
22;9;(input type) & (absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('input type',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)))];1.3.5;2
22;10;(input type) & (absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('input type',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)))];1.3.5;2
22;11;(input type) & (absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('input type',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)))];1.3.5;2
22;12;(input type) & (absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('input type',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)))];1.3.5;2
22;13;(input type) & (absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('input type',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)))];1.3.5;2
23;0;(absence) & (auto complete);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('auto complete',case=False,na=False)))];1.3.5;2
23;9;(absence) & (auto complete);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('auto complete',case=False,na=False)))];1.3.5;2
23;10;(absence) & (auto complete);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('auto complete',case=False,na=False)))];1.3.5;2
23;11;(absence) & (auto complete);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('auto complete',case=False,na=False)))];1.3.5;2
23;12;(absence) & (auto complete);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('auto complete',case=False,na=False)))];1.3.5;2
23;13;(absence) & (auto complete);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('auto complete',case=False,na=False)))];1.3.5;2
24;0;(absence) & (purpose) & (widget);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('purpose',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('widget',case=False,na=False)))];1.3.6;3
24;9;(absence) & (purpose) & (widget);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('purpose',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('widget',case=False,na=False)))];1.3.6;3
24;10;(absence) & (purpose) & (widget);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('purpose',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('widget',case=False,na=False)))];1.3.6;3
24;11;(absence) & (purpose) & (widget);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('purpose',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('widget',case=False,na=False)))];1.3.6;3
24;12;(absence) & (purpose) & (widget);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('purpose',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('widget',case=False,na=False)))];1.3.6;3
24;13;(absence) & (purpose) & (widget);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('purpose',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('widget',case=False,na=False)))];1.3.6;3
25;0;color blind;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('color blind',case=False,na=False)))];1.4.1;1
26;0;(media control) & (unable || absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media control',case=False,na=False)) & ((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('absence',case=False,na=False))))];1.4.2;3
26;9;(media control) & (unable || absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media control',case=False,na=False)) & ((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('absent',case=False,na=False))))];1.4.2;3
26;10;(media control) & (unable || absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media control',case=False,na=False)) & ((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('miss',case=False,na=False))))];1.4.2;3
26;11;(media control) & (unable || absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media control',case=False,na=False)) & ((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('no',case=False,na=False))))];1.4.2;3
26;12;(media control) & (unable || absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media control',case=False,na=False)) & ((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('without',case=False,na=False))))];1.4.2;3
26;13;(media control) & (unable || absence);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('media control',case=False,na=False)) & ((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('lack',case=False,na=False))))];1.4.2;3
27;0;autoplay;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('autoplay',case=False,na=False)))];1.4.2;1
28;0;(contrast) & (low);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('contrast',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('low',case=False,na=False)))];1.4.3;2
29;0;(unable || difficult) & (see);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('difficult',case=False,na=False))) & (arquivo_entrada['avaliacao'].str.contains('see',case=False,na=False))];1.4.3;3
30;0;(unreadable);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unreadable',case=False,na=False)))];1.4.3;1
31;0;(image of text);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('image of text',case=False,na=False)))];1.4.5;1
32;0;(contrast) & (low);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('contrast',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('low',case=False,na=False)))];1.4.6;2
33;0;(unable || difficult) & (see);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unable',case=False,na=False)) | (arquivo_entrada['avaliacao'].str.contains('difficult',case=False,na=False))) & (arquivo_entrada['avaliacao'].str.contains('see',case=False,na=False))];1.4.6;3
34;0;unreadable;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('unreadable',case=False,na=False)))];1.4.6;1
35;0;screen glare;arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('screen glare',case=False,na=False)))];1.4.6;1
36;0;(background) & (audio);arquivo_entrada[((arquivo_entrada['avaliacao'].str.contains('background',case=False,na=False)) & (arquivo_entrada['avaliacao'].str.contains('audio',case=False,na=False)))];1.4.7;2
